Reference, Cell Type, Cell Name, Count
"Alfbrand_b","Interior","Raven Rock, Mine",1
"Apronia Alfena","World","Isinfier Plains Region(-27,21)",1
"Audmund","World","Hirstaang Forest Region(-20,17)",1
"Audmund_b","Interior","Raven Rock, Mine",1
"BM Bear Helmet","Interior","Solstheim, Frykte",1
"BM Huntsman Spear","Interior","Skaal Village, Ingmar's House",1
"BM Huntsman Spear","Interior","Solstheim, Frykte",2
"BM Huntsmanbolt","Interior","Solstheim, Frykte",1
"BM Wolf Helmet","Interior","Skaal village, Snedbrir the Smith",1
"BM Wolf Helmet","Interior","Solstheim, Varstaad Caves",1
"BM bear boots","Interior","Skaal Village, Ingmar's House",1
"BM bear boots","Interior","Skaal village, Snedbrir the Smith",1
"BM frostgore","World","Moesring Mountains Region(-27,23)",1
"BM huntsman axe","Interior","Skaal Village, Bronrod the Roarer's House",1
"BM huntsman axe","Interior","Solstheim, Frykte",1
"BM huntsman axe","Interior","Solstheim, Graring's House",1
"BM huntsman crossbow","Interior","Solstheim, Frykte",1
"BM huntsman longsword","Interior","Solstheim, Varstaad Caves",1
"BM huntsman war axe","Interior","Skaal Village, Ingmar's House",2
"BM nordic silver axe","Interior","Solstheim, Thirsk",1
"BM nordic silver axe","World","Solstheim, Lake Fjalding(-20,23)",1
"BM nordic silver axe","World","Thirsk(-19,23)",1
"BM nordic silver battleaxe","Interior","Solstheim, Thirsk",1
"BM nordic silver battleaxe","World","Thirsk(-19,23)",1
"BM nordic silver claymore","Interior","Skaal village, Snedbrir the Smith",1
"BM nordic silver claymore","Interior","Solstheim, Frossel",1
"BM nordic silver claymore","Interior","Solstheim, Frykte",1
"BM nordic silver claymore","Interior","Solstheim, Gronn",1
"BM nordic silver claymore","Interior","Solstheim, Valbrandr Barrow",1
"BM nordic silver claymore","World","Thirsk(-19,23)",1
"BM nordic silver dagger","Interior","Skaal Village, Ingmar's House",1
"BM nordic silver dagger","Interior","Solstheim, Thirsk",1
"BM nordic silver dagger","World","Skaal Village(-20,25)",1
"BM nordic silver dagger","World","Thirsk(-19,23)",1
"BM nordic silver longsword","Interior","Solstheim, Varstaad Caves",1
"BM nordic silver longsword","World","Thirsk(-19,23)",1
"BM nordic silver longsword_cft","Interior","Solstheim, Thirsk",1
"BM nordic silver mace","Interior","Skaal Village, Ingmar's House",1
"BM nordic silver mace","Interior","Skaal Village, The Greathall",1
"BM nordic silver mace","World","Thirsk(-19,23)",1
"BM nordic silver shortsword","Interior","Skaal Village, The Greathall",1
"BM nordic silver shortsword","World","Thirsk(-19,23)",1
"BM silver dagger wolfender","Interior","Solstheim, Frykte",1
"BM wolf boots","World","Skaal Village(-20,25)",1
"BM_IC_3way","Interior","Solstheim, Benkongerike",4
"BM_IC_3way","Interior","Solstheim, Bjorn",2
"BM_IC_3way","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",2
"BM_IC_3way","Interior","Solstheim, Caves of Fjalding",5
"BM_IC_3way","Interior","Solstheim, Domme",3
"BM_IC_3way","Interior","Solstheim, Gronn",1
"BM_IC_3way","Interior","Solstheim, Halls of Penumbra",1
"BM_IC_3way","Interior","Solstheim, Legge",1
"BM_IC_4way","Interior","Solstheim, Aesliip's Lair, Caverns",1
"BM_IC_4way","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",1
"BM_IC_4way","Interior","Solstheim, Caves of Fjalding",1
"BM_IC_4way","Interior","Solstheim, Domme",1
"BM_IC_4way","Interior","Solstheim, Gronn",1
"BM_IC_4way","Interior","Solstheim, Halls of Penumbra",1
"BM_IC_big","Interior","Solstheim, Gronn",1
"BM_IC_big_2","Interior","Solstheim, Gronn",1
"BM_IC_big_3","Interior","Solstheim, Gronn",1
"BM_IC_brownish","Interior","Solstheim, Aesliip's Lair, Caverns",1
"BM_IC_brownish","Interior","Solstheim, Benkongerike",4
"BM_IC_brownish","Interior","Solstheim, Domme",1
"BM_IC_brownish","Interior","Solstheim, Frykte",5
"BM_IC_brownish","Interior","Solstheim, Gronn",1
"BM_IC_brownish","Interior","Solstheim, Kolfinna's Dwelling",1
"BM_IC_brownish","Interior","Solstheim, Sjobal",2
"BM_IC_brownish","Interior","Solstheim, Ulfgar the Unending's Dwelling",1
"BM_IC_cavern_01","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",1
"BM_IC_cavern_01_01","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",1
"BM_IC_cavern_01_02","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",1
"BM_IC_cavern_01_03","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",1
"BM_IC_cavern_02","Interior","Solstheim, Rimhull",1
"BM_IC_cavern_03","Interior","Solstheim, Skygge",1
"BM_IC_cavern_03_01","Interior","Solstheim, Skygge",1
"BM_IC_cavern_03_02","Interior","Solstheim, Skygge",1
"BM_IC_cavern_03_03","Interior","Solstheim, Skygge",1
"BM_IC_cavern_03_04","Interior","Solstheim, Skygge",1
"BM_IC_cavern_04","Interior","Solstheim, Kolfinna's Dwelling",1
"BM_IC_cavern_04_02","Interior","Solstheim, Kolfinna's Dwelling",1
"BM_IC_door_pelt","Interior","Solstheim, Aesliip's Lair",1
"BM_IC_door_pelt","Interior","Solstheim, Benkongerike",1
"BM_IC_door_pelt","Interior","Solstheim, Bjorn",1
"BM_IC_door_pelt","Interior","Solstheim, Domme",1
"BM_IC_door_pelt","Interior","Solstheim, Geilir the Mumbling's Dwelling",1
"BM_IC_door_pelt","Interior","Solstheim, Gloomy Cave",1
"BM_IC_door_pelt","Interior","Solstheim, Gronn",1
"BM_IC_door_pelt","Interior","Solstheim, Hrothmund's Barrow",1
"BM_IC_door_pelt","Interior","Solstheim, Kjolver's Dwelling",1
"BM_IC_door_pelt","Interior","Solstheim, Sjobal",1
"BM_IC_door_pelt","Interior","Solstheim, Ulfgar the Unending's Dwelling",1
"BM_IC_door_pelt","Interior","Solstheim, Varstaad Caves",1
"BM_IC_door_pelt","World","Moesring Mountains Region(-26,24)",1
"BM_IC_door_pelt_dark","World","Felsaad Coast Region(-19,24)",1
"BM_IC_door_pelt_dark","World","Isinfier Plains Region(-22,20)",1
"BM_IC_door_pelt_dark","World","Isinfier Plains Region(-22,22)",2
"BM_IC_door_pelt_dark","World","Isinfier Plains Region(-23,24)",1
"BM_IC_door_pelt_dark","World","Isinfier Plains Region(-24,21)",1
"BM_IC_door_pelt_dark","World","Isinfier Plains Region(-26,21)",1
"BM_IC_door_pelt_dark","World","Moesring Mountains Region(-24,27)",1
"BM_IC_door_pelt_dark","World","Moesring Mountains Region(-25,24)",1
"BM_IC_door_pelt_dark","World","Solstheim, Brodir Grove(-23,20)",1
"BM_IC_door_pelt_wolf","World","Solstheim, Hrothmund's Bane(-24,25)",1
"BM_IC_end","Interior","Solstheim, Aesliip's Lair",1
"BM_IC_end","Interior","Solstheim, Aesliip's Lair, Caverns",2
"BM_IC_end","Interior","Solstheim, Benkongerike",1
"BM_IC_end","Interior","Solstheim, Bjorn",1
"BM_IC_end","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",1
"BM_IC_end","Interior","Solstheim, Caves of Fjalding",3
"BM_IC_end","Interior","Solstheim, Gronn",3
"BM_IC_end","Interior","Solstheim, Halls of Penumbra",3
"BM_IC_end","Interior","Solstheim, Solvjord",1
"BM_IC_end","Interior","Solstheim, Stahlman's Gorge",1
"BM_IC_end","Interior","Solstheim, Ulfgar the Unending's Dwelling",1
"BM_IC_exit_01","Interior","Solstheim, Aesliip's Lair, Caverns",1
"BM_IC_exit_01","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",2
"BM_IC_exit_01","Interior","Solstheim, Caves of Fjalding",2
"BM_IC_exit_01","Interior","Solstheim, Fjell",1
"BM_IC_exit_01","Interior","Solstheim, Frossel",1
"BM_IC_exit_01","Interior","Solstheim, Rimhull",1
"BM_IC_exit_01","Interior","Solstheim, Skygge",1
"BM_IC_exit_01","Interior","Solstheim, Solvjord",1
"BM_IC_gorge02","Interior","Solstheim, Stahlman's Gorge",1
"BM_IC_green","Interior","Solstheim, Stahlman's Gorge",1
"BM_IC_icicle_01","Interior","Solstheim, Mortrag Glacier: Inner Ring",1
"BM_IC_icicle_01","Interior","Solstheim, Mortrag Glacier: Outer Ring",2
"BM_IC_icicle_02","Interior","Solstheim, Mortrag Glacier: Huntsman's Hall",3
"BM_IC_icicle_02","Interior","Solstheim, Mortrag Glacier: Outer Ring",1
"BM_IC_icicle_02","Interior","Solstheim, Rimhull",1
"BM_IC_icicle_03","Interior","Solstheim, Mortrag Glacier: Inner Ring",1
"BM_IC_icicle_03","Interior","Solstheim, Mortrag Glacier: Outer Ring",1
"BM_IC_incline","Interior","Solstheim, Aesliip's Lair, Caverns",3
"BM_IC_incline","Interior","Solstheim, Benkongerike",4
"BM_IC_incline","Interior","Solstheim, Bjorn",2
"BM_IC_incline","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",5
"BM_IC_incline","Interior","Solstheim, Caves of Fjalding",6
"BM_IC_incline","Interior","Solstheim, Fjell",6
"BM_IC_incline","Interior","Solstheim, Frossel",1
"BM_IC_incline","Interior","Solstheim, Gronn",3
"BM_IC_incline","Interior","Solstheim, Halls of Penumbra",3
"BM_IC_incline","Interior","Solstheim, Lair of the Udyrfrykte",2
"BM_IC_incline","Interior","Solstheim, Legge",2
"BM_IC_incline","Interior","Solstheim, Rimhull",1
"BM_IC_incline","Interior","Solstheim, Sjobal",3
"BM_IC_incline","Interior","Solstheim, Skygge",2
"BM_IC_incline","Interior","Solstheim, Solvjord",1
"BM_IC_incline","Interior","Solstheim, Ulfgar the Unending's Dwelling",3
"BM_IC_med_green_02","Interior","Solstheim, Aesliip's Lair",2
"BM_IC_med_green_02","Interior","Solstheim, Gloomy Cave",2
"BM_IC_med_green_02","Interior","Solstheim, Lair of the Udyrfrykte",2
"BM_IC_med_yellow","Interior","Solstheim, Aesliip's Lair",7
"BM_IC_med_yellow","Interior","Solstheim, Aesliip's Lair, Caverns",1
"BM_IC_med_yellow","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",6
"BM_IC_med_yellow","Interior","Solstheim, Caves of Fjalding",5
"BM_IC_med_yellow","Interior","Solstheim, Hrothmund's Barrow",1
"BM_IC_med_yellow","Interior","Solstheim, Kjolver's Dwelling",3
"BM_IC_med_yellow","Interior","Solstheim, Legge",1
"BM_IC_med_yellow","Interior","Solstheim, Rimhull",4
"BM_IC_med_yellow","Interior","Solstheim, Solvjord",5
"BM_IC_med_yellow","Interior","Solstheim, Ulfgar the Unending's Dwelling",3
"BM_IC_med_yellow","Interior","Solstheim, Varstaad Caves",1
"BM_IC_med_yellow_dark","Interior","Solstheim, Aesliip's Lair",1
"BM_IC_med_yellow_dark","Interior","Solstheim, Benkongerike",14
"BM_IC_med_yellow_dark","Interior","Solstheim, Fjell",3
"BM_IC_med_yellow_dark","Interior","Solstheim, Gronn",8
"BM_IC_med_yellow_dark2","Interior","Solstheim, Benkongerike",1
"BM_IC_rock_01","Interior","Solstheim, Legge",1
"BM_IC_rock_01","Interior","Solstheim, Mortrag Glacier: Entry",1
"BM_IC_rock_01","Interior","Solstheim, Mortrag Glacier: Inner Ring",4
"BM_IC_rock_01","Interior","Solstheim, Mortrag Glacier: Outer Ring",2
"BM_IC_rock_01","Interior","Solstheim, Rimhull",4
"BM_IC_rock_01","Interior","Solstheim, Ulfgar the Unending's Dwelling",4
"BM_IC_rock_02","Interior","Solstheim, Benkongerike",4
"BM_IC_rock_02","Interior","Solstheim, Bjorn",1
"BM_IC_rock_02","Interior","Solstheim, Frykte",6
"BM_IC_rock_02","Interior","Solstheim, Mortrag Glacier: Inner Ring",4
"BM_IC_rock_02","Interior","Solstheim, Mortrag Glacier: Outer Ring",5
"BM_IC_rock_02","Interior","Solstheim, Ulfgar the Unending's Dwelling",1
"BM_IC_rock_03","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",5
"BM_IC_rock_03","Interior","Solstheim, Domme",1
"BM_IC_rock_03","Interior","Solstheim, Kolfinna's Dwelling",3
"BM_IC_rock_03","Interior","Solstheim, Lair of the Udyrfrykte",1
"BM_IC_rock_03","Interior","Solstheim, Ulfgar the Unending's Dwelling",5
"BM_IC_rock_04","Interior","Solstheim, Aesliip's Lair",44
"BM_IC_rock_04","Interior","Solstheim, Aesliip's Lair, Caverns",49
"BM_IC_rock_04","Interior","Solstheim, Benkongerike",23
"BM_IC_rock_04","Interior","Solstheim, Bjorn",23
"BM_IC_rock_04","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",23
"BM_IC_rock_04","Interior","Solstheim, Castle Karstaag, Tower",16
"BM_IC_rock_04","Interior","Solstheim, Caves of Fjalding",17
"BM_IC_rock_04","Interior","Solstheim, Domme",24
"BM_IC_rock_04","Interior","Solstheim, Fjell",4
"BM_IC_rock_04","Interior","Solstheim, Frossel",16
"BM_IC_rock_04","Interior","Solstheim, Frykte",24
"BM_IC_rock_04","Interior","Solstheim, Geilir the Mumbling's Dwelling",15
"BM_IC_rock_04","Interior","Solstheim, Gloomy Cave",7
"BM_IC_rock_04","Interior","Solstheim, Gronn",21
"BM_IC_rock_04","Interior","Solstheim, Halls of Penumbra",29
"BM_IC_rock_04","Interior","Solstheim, Hrothmund's Barrow",2
"BM_IC_rock_04","Interior","Solstheim, Kolfinna's Dwelling",7
"BM_IC_rock_04","Interior","Solstheim, Lair of the Udyrfrykte",16
"BM_IC_rock_04","Interior","Solstheim, Legge",26
"BM_IC_rock_04","Interior","Solstheim, Mortrag Glacier: Inner Ring",3
"BM_IC_rock_04","Interior","Solstheim, Mortrag Glacier: Outer Ring",2
"BM_IC_rock_04","Interior","Solstheim, Rimhull",29
"BM_IC_rock_04","Interior","Solstheim, Sjobal",13
"BM_IC_rock_04","Interior","Solstheim, Skygge",8
"BM_IC_rock_04","Interior","Solstheim, Solvjord",44
"BM_IC_rock_04","Interior","Solstheim, Stahlman's Gorge",13
"BM_IC_rock_04","Interior","Solstheim, Ulfgar the Unending's Dwelling",29
"BM_IC_rock_04","Interior","Solstheim, Varstaad Caves",2
"BM_IC_rock_05","Interior","Solstheim, Aesliip's Lair, Caverns",3
"BM_IC_rock_05","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",2
"BM_IC_rock_05","Interior","Solstheim, Frossel",1
"BM_IC_rock_05","Interior","Solstheim, Gloomy Cave",2
"BM_IC_rock_05","Interior","Solstheim, Halls of Penumbra",2
"BM_IC_rock_05","Interior","Solstheim, Kolfinna's Dwelling",1
"BM_IC_rock_05","Interior","Solstheim, Lair of the Udyrfrykte",3
"BM_IC_rock_05","Interior","Solstheim, Legge",6
"BM_IC_rock_05","Interior","Solstheim, Mortrag Glacier: Outer Ring",1
"BM_IC_rock_05","Interior","Solstheim, Rimhull",17
"BM_IC_rock_05","Interior","Solstheim, Solvjord",3
"BM_IC_rock_05","Interior","Solstheim, Ulfgar the Unending's Dwelling",4
"BM_IC_rock_06","Interior","Solstheim, Aesliip's Lair",1
"BM_IC_rock_06","Interior","Solstheim, Aesliip's Lair, Caverns",3
"BM_IC_rock_06","Interior","Solstheim, Benkongerike",6
"BM_IC_rock_06","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",2
"BM_IC_rock_06","Interior","Solstheim, Domme",3
"BM_IC_rock_06","Interior","Solstheim, Fjell",3
"BM_IC_rock_06","Interior","Solstheim, Frykte",15
"BM_IC_rock_06","Interior","Solstheim, Geilir the Mumbling's Dwelling",1
"BM_IC_rock_06","Interior","Solstheim, Gloomy Cave",4
"BM_IC_rock_06","Interior","Solstheim, Gronn",2
"BM_IC_rock_06","Interior","Solstheim, Halls of Penumbra",1
"BM_IC_rock_06","Interior","Solstheim, Kjolver's Dwelling",2
"BM_IC_rock_06","Interior","Solstheim, Lair of the Udyrfrykte",9
"BM_IC_rock_06","Interior","Solstheim, Legge",6
"BM_IC_rock_06","Interior","Solstheim, Rimhull",8
"BM_IC_rock_06","Interior","Solstheim, Sjobal",1
"BM_IC_rock_06","Interior","Solstheim, Skygge",2
"BM_IC_rock_06","Interior","Solstheim, Solvjord",10
"BM_IC_rock_07","Interior","Solstheim, Mortrag Glacier: Inner Ring",1
"BM_IC_rock_07","Interior","Solstheim, Mortrag Glacier: Outer Ring",1
"BM_IC_rock_08","Interior","Solstheim, Aesliip's Lair",15
"BM_IC_rock_08","Interior","Solstheim, Aesliip's Lair, Caverns",18
"BM_IC_rock_08","Interior","Solstheim, Benkongerike",15
"BM_IC_rock_08","Interior","Solstheim, Bjorn",26
"BM_IC_rock_08","Interior","Solstheim, Caves of Fjalding",14
"BM_IC_rock_08","Interior","Solstheim, Domme",29
"BM_IC_rock_08","Interior","Solstheim, Fjell",19
"BM_IC_rock_08","Interior","Solstheim, Frossel",12
"BM_IC_rock_08","Interior","Solstheim, Frykte",15
"BM_IC_rock_08","Interior","Solstheim, Geilir the Mumbling's Dwelling",8
"BM_IC_rock_08","Interior","Solstheim, Gloomy Cave",8
"BM_IC_rock_08","Interior","Solstheim, Gronn",19
"BM_IC_rock_08","Interior","Solstheim, Halls of Penumbra",19
"BM_IC_rock_08","Interior","Solstheim, Hrothmund's Barrow",2
"BM_IC_rock_08","Interior","Solstheim, Kjolver's Dwelling",7
"BM_IC_rock_08","Interior","Solstheim, Lair of the Udyrfrykte",8
"BM_IC_rock_08","Interior","Solstheim, Legge",10
"BM_IC_rock_08","Interior","Solstheim, Sjobal",21
"BM_IC_rock_08","Interior","Solstheim, Skygge",10
"BM_IC_rock_08","Interior","Solstheim, Stahlman's Gorge",19
"BM_IC_rock_08","Interior","Solstheim, Ulfgar the Unending's Dwelling",8
"BM_IC_rock_08","Interior","Solstheim, Varstaad Caves",2
"BM_IC_rock_09_low","Interior","Solstheim, Benkongerike",2
"BM_IC_rock_09_low","Interior","Solstheim, Bjorn",4
"BM_IC_rock_09_low","Interior","Solstheim, Fjell",8
"BM_IC_rock_09_low","Interior","Solstheim, Frossel",5
"BM_IC_rock_09_low","Interior","Solstheim, Frykte",11
"BM_IC_rock_09_low","Interior","Solstheim, Gronn",5
"BM_IC_rock_09_low","Interior","Solstheim, Halls of Penumbra",2
"BM_IC_rock_09_low","Interior","Solstheim, Sjobal",10
"BM_IC_room02_center_01","Interior","Solstheim, Aesliip's Lair",2
"BM_IC_room02_center_01","Interior","Solstheim, Aesliip's Lair, Caverns",12
"BM_IC_room02_center_01","Interior","Solstheim, Castle Karstaag, Tower",2
"BM_IC_room02_center_01","Interior","Solstheim, Domme",7
"BM_IC_room02_center_01","Interior","Solstheim, Frykte",28
"BM_IC_room02_center_01","Interior","Solstheim, Lair of the Udyrfrykte",4
"BM_IC_room02_center_01","Interior","Solstheim, Legge",8
"BM_IC_room02_center_01","Interior","Solstheim, Sjobal",6
"BM_IC_room02_corner","Interior","Solstheim, Aesliip's Lair",4
"BM_IC_room02_corner","Interior","Solstheim, Fjell",4
"BM_IC_room02_corner","Interior","Solstheim, Frykte",2
"BM_IC_room02_corner","Interior","Solstheim, Geilir the Mumbling's Dwelling",2
"BM_IC_room02_corner","Interior","Solstheim, Gloomy Cave",2
"BM_IC_room02_corner","Interior","Solstheim, Kjolver's Dwelling",2
"BM_IC_room02_corner","Interior","Solstheim, Lair of the Udyrfrykte",4
"BM_IC_room02_entrance","Interior","Solstheim, Aesliip's Lair",5
"BM_IC_room02_entrance","Interior","Solstheim, Aesliip's Lair, Caverns",3
"BM_IC_room02_entrance","Interior","Solstheim, Benkongerike",2
"BM_IC_room02_entrance","Interior","Solstheim, Bjorn",2
"BM_IC_room02_entrance","Interior","Solstheim, Domme",4
"BM_IC_room02_entrance","Interior","Solstheim, Fjell",1
"BM_IC_room02_entrance","Interior","Solstheim, Frykte",1
"BM_IC_room02_entrance","Interior","Solstheim, Geilir the Mumbling's Dwelling",1
"BM_IC_room02_entrance","Interior","Solstheim, Gloomy Cave",1
"BM_IC_room02_entrance","Interior","Solstheim, Gronn",9
"BM_IC_room02_entrance","Interior","Solstheim, Halls of Penumbra",1
"BM_IC_room02_entrance","Interior","Solstheim, Kjolver's Dwelling",1
"BM_IC_room02_entrance","Interior","Solstheim, Lair of the Udyrfrykte",1
"BM_IC_room02_entrance","Interior","Solstheim, Legge",1
"BM_IC_room02_entrance","Interior","Solstheim, Sjobal",3
"BM_IC_room02_entrance","Interior","Solstheim, Ulfgar the Unending's Dwelling",2
"BM_IC_room02_inner","Interior","Solstheim, Aesliip's Lair",1
"BM_IC_room02_inner","Interior","Solstheim, Gloomy Cave",1
"BM_IC_room02_sidewall_01","Interior","Solstheim, Aesliip's Lair, Caverns",2
"BM_IC_room02_sidewall_01","Interior","Solstheim, Domme",10
"BM_IC_room02_sidewall_01","Interior","Solstheim, Frykte",20
"BM_IC_room02_sidewall_01","Interior","Solstheim, Geilir the Mumbling's Dwelling",2
"BM_IC_room02_sidewall_01","Interior","Solstheim, Gronn",9
"BM_IC_room02_sidewall_01","Interior","Solstheim, Halls of Penumbra",2
"BM_IC_room02_sidewall_01","Interior","Solstheim, Kjolver's Dwelling",2
"BM_IC_room02_sidewall_01","Interior","Solstheim, Legge",2
"BM_IC_room02_sidewall_01","Interior","Solstheim, Sjobal",5
"BM_IC_room02_sidewall_02","Interior","Solstheim, Benkongerike",10
"BM_IC_room02_sidewall_02","Interior","Solstheim, Bjorn",2
"BM_IC_room02_sidewall_02","Interior","Solstheim, Domme",11
"BM_IC_room02_sidewall_02","Interior","Solstheim, Fjell",2
"BM_IC_room02_sidewall_02","Interior","Solstheim, Frykte",3
"BM_IC_room02_sidewall_02","Interior","Solstheim, Halls of Penumbra",1
"BM_IC_room02_sidewall_02","Interior","Solstheim, Lair of the Udyrfrykte",3
"BM_IC_room02_sidewall_02","Interior","Solstheim, Sjobal",5
"BM_IC_room_corner","Interior","Solstheim, Bjorn",4
"BM_IC_room_corner","Interior","Solstheim, Caves of Fjalding",4
"BM_IC_room_corner","Interior","Solstheim, Frossel",4
"BM_IC_room_corner","Interior","Solstheim, Legge",3
"BM_IC_room_corner","Interior","Solstheim, Rimhull",5
"BM_IC_room_corner","Interior","Solstheim, Solvjord",6
"BM_IC_room_entrance","Interior","Solstheim, Bjorn",2
"BM_IC_room_entrance","Interior","Solstheim, Caves of Fjalding",1
"BM_IC_room_entrance","Interior","Solstheim, Frossel",1
"BM_IC_room_entrance","Interior","Solstheim, Legge",1
"BM_IC_room_entrance","Interior","Solstheim, Rimhull",2
"BM_IC_room_entrance","Interior","Solstheim, Solvjord",2
"BM_IC_room_inner","Interior","Solstheim, Legge",1
"BM_IC_room_inner","Interior","Solstheim, Rimhull",1
"BM_IC_room_inner","Interior","Solstheim, Solvjord",2
"BM_IC_room_sidewall_01","Interior","Solstheim, Bjorn",4
"BM_IC_room_sidewall_01","Interior","Solstheim, Caves of Fjalding",2
"BM_IC_room_sidewall_01","Interior","Solstheim, Frossel",6
"BM_IC_room_sidewall_01","Interior","Solstheim, Legge",3
"BM_IC_room_sidewall_01","Interior","Solstheim, Rimhull",2
"BM_IC_room_sidewall_01","Interior","Solstheim, Solvjord",6
"BM_IC_room_sidewall_02","Interior","Solstheim, Legge",2
"BM_IC_room_sidewall_02","Interior","Solstheim, Rimhull",2
"BM_IC_room_sidewall_02","Interior","Solstheim, Solvjord",6
"BM_IC_seem_01","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",1
"BM_IC_small_bright","Interior","Solstheim, Aesliip's Lair, Caverns",1
"BM_IC_small_bright","Interior","Solstheim, Bjorn",5
"BM_IC_small_bright","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",6
"BM_IC_small_bright","Interior","Solstheim, Caves of Fjalding",6
"BM_IC_small_bright","Interior","Solstheim, Fjell",6
"BM_IC_small_bright","Interior","Solstheim, Frossel",3
"BM_IC_small_bright","Interior","Solstheim, Legge",1
"BM_IC_small_bright","Interior","Solstheim, Rimhull",1
"BM_IC_small_bright","Interior","Solstheim, Stahlman's Gorge",1
"BM_IC_small_bright","Interior","Solstheim, Ulfgar the Unending's Dwelling",4
"BM_IC_small_dark","Interior","Solstheim, Aesliip's Lair, Caverns",18
"BM_IC_small_dark","Interior","Solstheim, Castle Karstaag, Caverns of Karstaag",10
