Reference, Cell Type, Cell Name, Count
"Ex_MH_Pav_BStatue_02","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_03","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_04","Interior","Bamz-Amschend, Hearthfire Hall",1
"Ex_MH_Pav_BStatue_05","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_06","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_07","Interior","Bamz-Amschend, Hearthfire Hall",1
"Ex_MH_Pav_BStatue_07","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_08","Interior","Bamz-Amschend, Hearthfire Hall",1
"Ex_MH_Pav_BStatue_09","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_10","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_11","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_12","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_13","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_14","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_BStatue_15","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_Crack","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_Fountain","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_Gate_Door","Interior","Mournhold, Godsreach",2
"Ex_MH_Pav_Gate_Door","Interior","Mournhold, Great Bazaar",2
"Ex_MH_Pav_Gate_Door","Interior","Mournhold, Plaza Brindisi Dorom",2
"Ex_MH_Pav_Gate_Door","Interior","Mournhold, Temple Courtyard",2
"Ex_MH_Pav_Ladder_01","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_Land_E","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_Land_W","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_Rubble_01","Interior","Mournhold, Plaza Brindisi Dorom",2
"Ex_MH_Pav_Spout","Interior","Mournhold, Plaza Brindisi Dorom",6
"Ex_MH_Pav_Steps","Interior","Mournhold, Plaza Brindisi Dorom",3
"Ex_MH_Pav_Top","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_Tower","Interior","Mournhold, Plaza Brindisi Dorom",2
"Ex_MH_Pav_Walk_N","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_Walk_S","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pav_Water_Spray","Interior","Mournhold, Plaza Brindisi Dorom",6
"Ex_MH_Pavillion_Gate","Interior","Mournhold, Plaza Brindisi Dorom",2
"Ex_MH_Pavillion_Gate_02","Interior","Mournhold, Godsreach",2
"Ex_MH_Pavillion_Gate_02","Interior","Mournhold, Great Bazaar",2
"Ex_MH_Pavillion_Gate_02","Interior","Mournhold, Plaza Brindisi Dorom",2
"Ex_MH_Pavillion_Gate_02","Interior","Mournhold, Temple Courtyard",2
"Ex_MH_Pavillion_Wall_E","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Pavillion_Wall_W","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Temple","Interior","Mournhold, Temple Courtyard",1
"Ex_MH_Temple_base","Interior","Mournhold, Temple Courtyard",1
"Ex_MH_city_gate","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_doorjamb_03","Interior","Mournhold, Godsreach",2
"Ex_MH_road_02","Interior","Mournhold, Temple Courtyard",1
"Ex_MH_sewer_trapdoor_01","Interior","Mournhold Temple: Basement",1
"Ex_MH_sewer_trapdoor_01","Interior","Mournhold, Craftsmen's Hall",1
"Ex_MH_sewer_trapdoor_01","Interior","Mournhold, Godsreach",1
"Ex_MH_sewer_trapdoor_01","Interior","Mournhold, Great Bazaar",1
"Ex_MH_sewer_trapdoor_01","Interior","Mournhold, Royal Palace: Basement",1
"Ex_MH_sewer_trapdoor_01","Interior","Old Mournhold: Forgotten Sewer",1
"Ex_MH_sewer_trapdoor_sadri","Interior","Mournhold, Sadri Manor",1
"Ex_MH_swr_trapdr_blkd","Interior","Old Mournhold: Forgotten Sewer",1
"Ex_MH_wall_02","Interior","Mournhold, Temple Courtyard",1
"Ex_Vivec_waterfall_03","Interior","Bamz-Amschend, Hearthfire Hall",1
"Ex_Vivec_waterfall_03","Interior","Norenen-dur, Basilica of Divine Whispers",2
"Ex_Vivec_waterfall_03","Interior","Norenen-dur, The Wailingdelve",1
"Ex_Vivec_waterfall_03","Interior","Old Mournhold: Tears of Amun-Shae",1
"Ex_Vivec_waterfall_03","Interior","Old Mournhold: Temple Catacombs",1
"Ex_Vivec_waterfall_05","Interior","Bamz-Amschend, King's Walk",3
"Ex_Vivec_waterfall_05","Interior","Bamz-Amschend, Skybreak Gallery",3
"Ex_Vivec_waterfall_05","Interior","Norenen-dur, Basilica of Divine Whispers",2
"Ex_Vivec_waterfall_05","Interior","Norenen-dur, The Wailingdelve",10
"Ex_Vivec_waterfall_05","Interior","Old Mournhold: Armory Ruins",2
"Ex_Vivec_waterfall_05","Interior","Old Mournhold: Forgotten Sewer",2
"Ex_Vivec_waterfall_05","Interior","Old Mournhold: Moril Manor, Courtyard",5
"Ex_Vivec_waterfall_05","Interior","Old Mournhold: Tears of Amun-Shae",4
"Ex_Vivec_waterfall_05","Interior","Old Mournhold: Temple Catacombs",1
"Ex_Vivec_waterfall_05","Interior","Old Mournhold: West Sewers",3
"Ex_waterfall_mist_01","Interior","Bamz-Amschend, Hearthfire Hall",3
"Ex_waterfall_mist_01","Interior","Bamz-Amschend, King's Walk",1
"Ex_waterfall_mist_01","Interior","Bamz-Amschend, Skybreak Gallery",6
"Ex_waterfall_mist_01","Interior","Norenen-dur, Basilica of Divine Whispers",7
"Ex_waterfall_mist_01","Interior","Norenen-dur, The Wailingdelve",15
"Ex_waterfall_mist_01","Interior","Old Mournhold: Armory Ruins",3
"Ex_waterfall_mist_01","Interior","Old Mournhold: Forgotten Sewer",2
"Ex_waterfall_mist_01","Interior","Old Mournhold: Moril Manor, Courtyard",9
"Ex_waterfall_mist_01","Interior","Old Mournhold: Tears of Amun-Shae",8
"Ex_waterfall_mist_01","Interior","Old Mournhold: Temple Catacombs",3
"Ex_waterfall_mist_01","Interior","Old Mournhold: West Sewers",2
"Ex_waterfall_mist_01","Interior","Sotha Sil, Outer Flooded Halls",2
"Ex_waterfall_mist_s_01","Interior","Bamz-Amschend, King's Walk",3
"Ex_waterfall_mist_s_01","Interior","Mournhold, Great Bazaar",2
"Ex_waterfall_mist_s_01","Interior","Mournhold, Temple Courtyard",2
"Ex_waterfall_mist_s_01","Interior","Norenen-dur, The Wailingdelve",1
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: Battlefield",1
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: Manor District",1
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: Moril Manor, Courtyard",4
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: Palace Sewers",2
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: Residential Ruins",1
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: Residential Sewers",1
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: Tears of Amun-Shae",3
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: Temple Catacombs",2
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: Temple Gardens",3
"Ex_waterfall_mist_s_01","Interior","Old Mournhold: West Sewers",2
"Expensive_pants_Mournhold","Interior","Mournhold, Clothier",3
"Expensive_shirt_Mournhold","Interior","Mournhold, Andoren Manor",1
"Expensive_shirt_Mournhold","Interior","Mournhold, Clothier",3
"Expensive_shirt_Mournhold","Interior","Mournhold, Geon Auline's House",1
"Expensive_shirt_Mournhold","Interior","Mournhold, Llethan Manor",1
"Expensive_shoes_Mournhold","Interior","Mournhold, Clothier",1
"Expensive_shoes_Mournhold","Interior","Mournhold, Llethan Manor",1
"Felvan Ienith","Interior","Mournhold, Vacant Manor",1
"Feranos Hlando","Interior","Mournhold, Secret Office",1
"Flame Light 768","Interior","Mournhold, Great Bazaar",2
"Flame Light","Interior","Mournhold, Craftsmen's Hall",1
"Flora_grass_05","Interior","Mournhold, Godsreach",27
"Flora_grass_05","Interior","Mournhold, Great Bazaar",44
"Flora_grass_06","Interior","Mournhold Temple: Hall of Ministry",8
"Flora_grass_06","Interior","Mournhold Temple: High Chapel",12
"Flora_grass_06","Interior","Mournhold, Craftsmen's Hall",6
"Flora_grass_06","Interior","Mournhold, Godsreach",29
"Flora_grass_06","Interior","Mournhold, Plaza Brindisi Dorom",21
"Flora_grass_06","Interior","Mournhold, Royal Palace: Courtyard",11
"Flora_grass_06","Interior","Mournhold, Royal Palace: Imperial Cult Services",8
"Flora_grass_06","Interior","Mournhold, Royal Palace: Reception Area",8
"Flora_grass_06","Interior","Mournhold, Temple Courtyard",8
"Flora_grass_07","Interior","Mournhold, Temple Courtyard",8
"Flora_plant_01","Interior","Mournhold Temple: High Chapel",2
"Flora_plant_01","Interior","Mournhold, Andoren Manor",2
"Flora_plant_01","Interior","Mournhold, Godsreach",3
"Flora_plant_01","Interior","Mournhold, Great Bazaar",1
"Flora_plant_01","Interior","Mournhold, Llethan Manor",1
"Flora_plant_01","Interior","Mournhold, Plaza Brindisi Dorom",4
"Flora_plant_01","Interior","Mournhold, Royal Palace: Courtyard",4
"Flora_plant_01","Interior","Mournhold, Sadri Manor",1
"Flora_plant_01","Interior","Mournhold, Thendas Manor",1
"Flora_tree_MH_01","Interior","Mournhold Temple: High Chapel",2
"Flora_tree_MH_02","Interior","Mournhold Temple: High Chapel",4
"Fonari Indaren","Interior","Mournhold, Great Bazaar",1
"Fons Beren","Interior","Mournhold, Great Bazaar",1
"Forven Berano","Interior","Mournhold, Temple Courtyard",1
"Furn_De_Bar_01","Interior","Mournhold, Armory",4
"Furn_De_Bar_01","Interior","Mournhold, Bookseller",5
"Furn_De_Bar_01","Interior","Mournhold, Clothier",3
"Furn_De_Bar_01","Interior","Mournhold, Pawnbroker",3
"Furn_De_Bar_01","Interior","Mournhold, The Winged Guar",12
"Furn_De_Bar_01","Interior","Mournhold, Trader",3
"Furn_De_Bar_03","Interior","Mournhold, Armory",1
"Furn_De_Bar_03","Interior","Mournhold, Bookseller",1
"Furn_De_Bar_03","Interior","Mournhold, Clothier",1
"Furn_De_Bar_03","Interior","Mournhold, Pawnbroker",1
"Furn_De_Bar_03","Interior","Mournhold, The Winged Guar",2
"Furn_De_Bar_03","Interior","Mournhold, Trader",1
"Furn_De_Bar_04","Interior","Mournhold, Armory",1
"Furn_De_Bar_04","Interior","Mournhold, Bookseller",2
"Furn_De_Bar_04","Interior","Mournhold, Clothier",2
"Furn_De_Bar_04","Interior","Mournhold, Pawnbroker",2
"Furn_De_Bar_04","Interior","Mournhold, The Winged Guar",1
"Furn_De_Firepit_01","Interior","Mournhold, Craftsmen's Hall",1
"Furn_De_Firepit_F_01","Interior","Old Mournhold: Armory Ruins",1
"Furn_De_Firepit_F_01","Interior","Old Mournhold: West Sewers",1
"Furn_De_Firepit_F_200","Interior","Old Mournhold: Armory Ruins",1
"Furn_De_Firepit_F_200","Interior","Old Mournhold: Manor District",1
"Furn_De_Firepit_F_200","Interior","Old Mournhold: Moril Manor, North Building",1
"Furn_De_Kegstand","Interior","Mournhold, The Winged Guar",2
"Furn_De_R_Bookshelf_02","Interior","Mournhold Temple: Office of the Lord Archcanon",2
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Andoren Manor",1
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Bookseller",3
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Clothier",2
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Craftsmen's Hall",7
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Geon Auline's House",1
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Ignatius Flaccus' House",1
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Llethan Manor",5
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Magic Shop",2
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Pawnbroker",2
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Royal Palace: Guards' Quarters",1
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Royal Palace: Legion Depot",3
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Sadri Manor",1
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Thendas Manor",1
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Trader",3
"Furn_De_R_Bookshelf_02","Interior","Mournhold, Velas Manor",4
"Furn_De_r_Table_09","Interior","Mournhold Temple: Infirmary",2
"Furn_De_r_Table_09","Interior","Mournhold, Andoren Manor",2
"Furn_De_r_Table_09","Interior","Mournhold, Armory",1
"Furn_De_r_Table_09","Interior","Mournhold, Craftsmen's Hall",2
"Furn_De_r_Table_09","Interior","Mournhold, Geon Auline's House",1
"Furn_De_r_Table_09","Interior","Mournhold, Ignatius Flaccus' House",1
"Furn_De_r_Table_09","Interior","Mournhold, Llethan Manor",1
"Furn_De_r_Table_09","Interior","Mournhold, Magic Shop",1
"Furn_De_r_Table_09","Interior","Mournhold, Pawnbroker",1
"Furn_De_r_Table_09","Interior","Mournhold, Royal Palace: Barenziah's Chambers",2
"Furn_De_r_Table_09","Interior","Mournhold, Royal Palace: Guards' Quarters",5
"Furn_De_r_Table_09","Interior","Mournhold, Sadri Manor",2
"Furn_De_r_Table_09","Interior","Mournhold, The Winged Guar",2
"Furn_De_r_Table_09","Interior","Mournhold, Thendas Manor",1
"Furn_De_r_Table_09","Interior","Mournhold, Trader",2
"Furn_De_r_Table_09","Interior","Mournhold, Velas Manor",2
"Furn_De_r_Winerack","Interior","Mournhold, Andoren Manor",1
"Furn_De_rm_Winerack","Interior","Mournhold, Ignatius Flaccus' House",1
"Furn_De_rm_Winerack","Interior","Mournhold, Llethan Manor",2
"Furn_De_rm_Winerack","Interior","Mournhold, Royal Palace: Basement",2
"Furn_De_rm_Winerack","Interior","Mournhold, The Winged Guar",2
"Furn_De_rm_Winerack","Interior","Mournhold, Vacant Manor",6
"Furn_Planter_MH_01","Interior","Mournhold Temple: Hall of Ministry",4
"Furn_Planter_MH_01","Interior","Mournhold Temple: High Chapel",2
"Furn_Planter_MH_01","Interior","Mournhold, Craftsmen's Hall",3
"Furn_Planter_MH_01","Interior","Mournhold, Godsreach",3
"Furn_Planter_MH_01","Interior","Mournhold, Great Bazaar",4
"Furn_Planter_MH_01","Interior","Mournhold, Llethan Manor",1
"Furn_Planter_MH_01","Interior","Mournhold, Royal Palace: Guards' Quarters",1
"Furn_Planter_MH_01","Interior","Mournhold, Royal Palace: Imperial Cult Services",4
"Furn_Planter_MH_01","Interior","Mournhold, Royal Palace: Legion Depot",1
"Furn_Planter_MH_01","Interior","Mournhold, Royal Palace: Reception Area",3
"Furn_Planter_MH_02","Interior","Mournhold, Great Bazaar",5
"Furn_Planter_MH_03","Interior","Mournhold, Godsreach",4
"Furn_Planter_MH_04","Interior","Mournhold, Godsreach",1
"Furn_Planter_MH_04","Interior","Mournhold, Great Bazaar",4
"Furn_Planter_MH_04","Interior","Mournhold, Velas Manor",2
"Furn_Planter_MH_05","Interior","Mournhold Temple: High Chapel",2
"Furn_banner_hanger_01","Interior","Mournhold, Plaza Brindisi Dorom",4
"Furn_banner_hanger_01","Interior","Mournhold, Royal Palace Throne Room",9
"Furn_banner_hanger_01","Interior","Mournhold, Royal Palace: Courtyard",10
"Furn_banner_hanger_01","Interior","Mournhold, Royal Palace: Guards' Quarters",7
"Furn_banner_hanger_01","Interior","Mournhold, Royal Palace: Helseth's Chambers",3
"Furn_banner_hanger_01","Interior","Mournhold, Royal Palace: Imperial Cult Services",1
"Furn_banner_hanger_01","Interior","Mournhold, Royal Palace: Legion Depot",2
"Furn_banner_helseth_01","Interior","Mournhold, Plaza Brindisi Dorom",2
"Furn_banner_helseth_01","Interior","Mournhold, Royal Palace Throne Room",3
"Furn_banner_helseth_01","Interior","Mournhold, Royal Palace: Courtyard",6
"Furn_banner_helseth_02","Interior","Mournhold, Royal Palace: Guards' Quarters",7
"Furn_banner_helseth_02","Interior","Mournhold, Royal Palace: Helseth's Chambers",3
"Furn_banner_helseth_02","Interior","Mournhold, Royal Palace: Legion Depot",2
"Furn_banner_imp_01","Interior","Mournhold, Plaza Brindisi Dorom",2
"Furn_banner_imp_01","Interior","Mournhold, Royal Palace Throne Room",6
"Furn_banner_imp_01","Interior","Mournhold, Royal Palace: Courtyard",4
"Furn_banner_stage_01","Interior","Mournhold, Great Bazaar",2
"Furn_de_rug_big_01","Interior","Mournhold Temple: Hall of Ministry",2
"Furn_de_rug_big_01","Interior","Mournhold Temple: Office of the Lord Archcanon",1
"Furn_de_rug_big_01","Interior","Mournhold, Armory",2
"Furn_de_rug_big_01","Interior","Mournhold, Bookseller",2
"Furn_de_rug_big_01","Interior","Mournhold, Craftsmen's Hall",1
"Furn_de_rug_big_01","Interior","Mournhold, Geon Auline's House",1
